"","lambda","mu","nu","q","crown_age","cond","seed","site_model","clock_model","tree_prior","marg_log_lik","marg_log_lik_sd","weight","gen_model"
"168",0.2,0.15,1,0.15,6,1,20,"GTR","strict","birth_death",-7313.61768968607,8.21944503867881,3.08890161968465e-14,"mbd"
"169",0.2,0.15,1,0.2,6,1,35,"JC69","strict","birth_death",-17102.8338487088,9.26123568253651,0.999965915796322,"bd"
"170",0.2,0.15,1,0.2,6,1,35,"JC69","strict","yule",-17113.1204911403,9.73295496829296,0.000034084203677968,"bd"
"171",0.2,0.15,1,0.2,6,1,35,"GTR","strict","birth_death",-17155.7033565722,11.4563095018878,1.09408149147637e-23,"bd"
"172",0.2,0.15,1,0.2,6,1,35,"JC69","strict","birth_death",-15596.4791578541,10.4191013457416,0.000000327455984960509,"mbd"
"173",0.2,0.15,1,0.2,6,1,35,"JC69","strict","yule",-15581.5473771451,10.6455686191949,0.999868529679122,"mbd"
"174",0.2,0.15,1,0.2,6,1,35,"GTR","strict","birth_death",-15590.4864689235,10.5708747778749,0.000131142864892975,"mbd"
"175",0.2,0.15,1,0.2,6,1,36,"JC69","strict","birth_death",-18023.6897407106,10.3809284450029,0.999958182873335,"bd"
"176",0.2,0.15,1,0.2,6,1,36,"JC69","strict","yule",-18033.7719034662,11.4966807872222,0.0000418171266620011,"bd"
"177",0.2,0.15,1,0.2,6,1,36,"GTR","strict","birth_death",-18057.0244396894,12.5824588144491,3.33354265267334e-15,"bd"
"178",0.2,0.15,1,0.2,6,1,36,"JC69","strict","birth_death",-16639.7367713732,11.0101898741394,0.0324991895725198,"mbd"
"179",0.2,0.15,1,0.2,6,1,36,"JC69","strict","yule",-16636.3432702634,12.2976371816755,0.96750081042748,"mbd"
"180",0.2,0.15,1,0.2,6,1,36,"GTR","strict","birth_death",-16769.5914907887,12.6869755613712,1.30823101174391e-58,"mbd"
"181",0.2,0.15,1.5,0.1,6,1,7,"JC69","strict","birth_death",-12269.3673719061,7.50085741894245,1,"bd"
"182",0.2,0.15,1.5,0.1,6,1,7,"JC69","strict","yule",-23567.2327057512,0.384096093911211,0,"bd"
"183",0.2,0.15,1.5,0.1,6,1,7,"GTR","strict","birth_death",-12329.9038234806,11.8188263083028,5.12098055996761e-27,"bd"
"184",0.2,0.15,1.5,0.1,6,1,7,"JC69","strict","birth_death",-12078.0011110042,8.9895720624583,0.999999167155416,"mbd"
"185",0.2,0.15,1.5,0.1,6,1,7,"JC69","strict","yule",-12091.999528957,9.36177598703534,0.000000832844584319714,"mbd"
"186",0.2,0.15,1.5,0.1,6,1,7,"GTR","strict","birth_death",-12131.0078791822,11.6576236753448,9.53789890943839e-24,"mbd"
"187",0.2,0.15,1.5,0.1,6,1,8,"JC69","strict","birth_death",-9879.90968754574,7.63887451304215,0.00000245440635337868,"bd"
"188",0.2,0.15,1.5,0.1,6,1,8,"JC69","strict","yule",-9866.99206436294,6.05454930566304,0.999997545593647,"bd"
"189",0.2,0.15,1.5,0.1,6,1,8,"GTR","strict","birth_death",-9905.42962605415,9.13760876669248,2.02664645679422e-17,"bd"
"190",0.2,0.15,1.5,0.1,6,1,8,"JC69","strict","birth_death",-10522.7937451897,6.9208560642064,0.900602999191582,"mbd"
"191",0.2,0.15,1.5,0.1,6,1,8,"JC69","strict","yule",-10524.9976979091,6.97057957871319,0.0993959947519656,"mbd"
"192",0.2,0.15,1.5,0.1,6,1,8,"GTR","strict","birth_death",-10536.4985268211,7.83052013780232,0.00000100605645217715,"mbd"
"193",0.2,0.15,1.5,0.15,6,1,23,"JC69","strict","birth_death",-3266.46664419056,2.35614068270652,6.05978403153525e-46,"bd"
"194",0.2,0.15,1.5,0.15,6,1,23,"JC69","strict","yule",-3162.34940407392,2.13548827295632,1,"bd"
"195",0.2,0.15,1.5,0.15,6,1,23,"GTR","strict","birth_death",-3218.32006132687,8.1661303818701,4.92325586050247e-25,"bd"
"196",0.2,0.15,1.5,0.15,6,1,23,"JC69","strict","birth_death",-2991.96489618101,3.28706926993528,1,"mbd"
"197",0.2,0.15,1.5,0.15,6,1,23,"JC69","strict","yule",-3078.54548214597,2.79193291663493,2.50339439465407e-38,"mbd"
"198",0.2,0.15,1.5,0.15,6,1,23,"GTR","strict","birth_death",-4134.47030681457,0.468310287350747,0,"mbd"
"199",0.2,0.15,1.5,0.15,6,1,24,"JC69","strict","birth_death",-13220.0085095905,9.09927115445893,1,"bd"
"200",0.2,0.15,1.5,0.15,6,1,24,"JC69","strict","yule",-24953.6140394586,0.34046387090815,0,"bd"
"201",0.2,0.15,1.5,0.15,6,1,24,"GTR","strict","birth_death",-13255.5237124677,10.0604604912838,3.76654678949409e-16,"bd"
"202",0.2,0.15,1.5,0.15,6,1,24,"JC69","strict","birth_death",-24953.9914047275,1.12407003683495,0,"mbd"
"203",0.2,0.15,1.5,0.15,6,1,24,"JC69","strict","yule",-24953.6223898859,0.344844210936787,0,"mbd"
"204",0.2,0.15,1.5,0.15,6,1,24,"GTR","strict","birth_death",-13530.2731585143,11.5721491833716,1,"mbd"
"205",0.2,0.15,1.5,0.2,6,1,39,"JC69","strict","birth_death",-14706.483731339,8.73886829176744,0.999767958953461,"bd"
"206",0.2,0.15,1.5,0.2,6,1,39,"JC69","strict","yule",-14714.8520955506,9.57900808365603,0.000232041045983478,"bd"
"207",0.2,0.15,1.5,0.2,6,1,39,"GTR","strict","birth_death",-14734.7026796835,10.3858705532456,5.55348576511483e-13,"bd"
"208",0.2,0.15,1.5,0.2,6,1,39,"JC69","strict","birth_death",-14862.044466583,9.02636444027023,0.999961670643006,"mbd"
"209",0.2,0.15,1.5,0.2,6,1,39,"JC69","strict","yule",-14872.2137227071,9.05355120340077,0.0000383293569935954,"mbd"
