"","folder","ess_likelihood","tree","best_or_gen"
"316","data/0.2-0-2-0.15/129",399,"twin","best"
"317","data/0.2-0-2-0.15/130",342,"true","gen"
"318","data/0.2-0-2-0.15/130",64,"true","best"
"319","data/0.2-0-2-0.15/130",6,"twin","gen"
"320","data/0.2-0-2-0.15/130",8,"twin","best"
"321","data/0.2-0-2-0.2/201",412,"true","gen"
"322","data/0.2-0-2-0.2/201",153,"true","best"
"323","data/0.2-0-2-0.2/201",383,"twin","gen"
"324","data/0.2-0-2-0.2/201",299,"twin","best"
"325","data/0.2-0-2-0.2/203",833,"true","gen"
"326","data/0.2-0-2-0.2/203",901,"true","best"
"327","data/0.2-0-2-0.2/203",819,"twin","gen"
"328","data/0.2-0-2-0.2/203",249,"twin","best"
"329","data/0.2-0-2-0.2/204",655,"true","gen"
"330","data/0.2-0-2-0.2/204",837,"true","best"
"331","data/0.2-0-2-0.2/204",901,"twin","gen"
"332","data/0.2-0-2-0.2/204",223,"twin","best"
"333","data/0.2-0-2-0.2/205",3,"true","gen"
"334","data/0.2-0-2-0.2/205",338,"true","best"
"335","data/0.2-0-2-0.2/205",3,"twin","gen"
"336","data/0.2-0-2-0.2/205",632,"twin","best"
"337","data/0.2-0-2-0.2/206",3,"true","gen"
"338","data/0.2-0-2-0.2/206",8,"true","best"
"339","data/0.2-0-2-0.2/206",61,"twin","gen"
"340","data/0.2-0-2-0.2/206",27,"twin","best"
"341","data/0.2-0-2-0.2/207",688,"true","gen"
"342","data/0.2-0-2-0.2/207",688,"true","best"
"343","data/0.2-0-2-0.2/207",524,"twin","gen"
"344","data/0.2-0-2-0.2/207",9,"twin","best"
"345","data/0.2-0-2-0.2/208",237,"true","gen"
"346","data/0.2-0-2-0.2/208",152,"true","best"
"347","data/0.2-0-2-0.2/208",125,"twin","gen"
"348","data/0.2-0-2-0.2/208",3,"twin","best"
"349","data/0.2-0-2-0.2/209",328,"true","gen"
"350","data/0.2-0-2-0.2/209",280,"true","best"
"351","data/0.2-0-2-0.2/209",5,"twin","gen"
"352","data/0.2-0-2-0.2/209",218,"twin","best"
"353","data/0.2-0-2-0.2/210",236,"true","gen"
"354","data/0.2-0-2-0.2/210",585,"true","best"
"355","data/0.2-0-2-0.2/210",81,"twin","gen"
"356","data/0.2-0-2-0.2/210",14,"twin","best"
"357","data/0.2-0-2.5-0.1/61",34,"true","gen"
"358","data/0.2-0-2.5-0.1/61",274,"true","best"
"359","data/0.2-0-2.5-0.1/61",19,"twin","gen"
"360","data/0.2-0-2.5-0.1/61",901,"twin","best"
"361","data/0.2-0-2.5-0.1/62",628,"true","gen"
"362","data/0.2-0-2.5-0.1/62",772,"true","best"
"363","data/0.2-0-2.5-0.1/62",779,"twin","gen"
"364","data/0.2-0-2.5-0.1/62",5,"twin","best"
"365","data/0.2-0-2.5-0.1/63",22,"true","gen"
"366","data/0.2-0-2.5-0.1/63",317,"true","best"
"367","data/0.2-0-2.5-0.1/63",657,"twin","gen"
"368","data/0.2-0-2.5-0.1/63",736,"twin","best"
"369","data/0.2-0-2.5-0.1/64",8,"true","gen"
"370","data/0.2-0-2.5-0.1/64",693,"true","best"
"371","data/0.2-0-2.5-0.1/64",3,"twin","gen"
"372","data/0.2-0-2.5-0.1/64",15,"twin","best"
"373","data/0.2-0-2.5-0.1/65",830,"true","gen"
"374","data/0.2-0-2.5-0.1/65",295,"true","best"
"375","data/0.2-0-2.5-0.1/65",901,"twin","gen"
"376","data/0.2-0-2.5-0.1/65",370,"twin","best"
"377","data/0.2-0-2.5-0.1/66",653,"true","gen"
"378","data/0.2-0-2.5-0.1/66",279,"true","best"
"379","data/0.2-0-2.5-0.1/66",572,"twin","gen"
"380","data/0.2-0-2.5-0.1/66",319,"twin","best"
"381","data/0.2-0-2.5-0.1/67",878,"true","gen"
"382","data/0.2-0-2.5-0.1/67",656,"true","best"
"383","data/0.2-0-2.5-0.1/67",570,"twin","gen"
"384","data/0.2-0-2.5-0.1/67",523,"twin","best"
"385","data/0.2-0-2.5-0.1/68",755,"true","gen"
"386","data/0.2-0-2.5-0.1/68",267,"true","best"
"387","data/0.2-0-2.5-0.1/68",717,"twin","gen"
"388","data/0.2-0-2.5-0.1/68",666,"twin","best"
"389","data/0.2-0-2.5-0.1/69",455,"true","gen"
"390","data/0.2-0-2.5-0.1/69",284,"true","best"
"391","data/0.2-0-2.5-0.1/69",281,"twin","gen"
"392","data/0.2-0-2.5-0.1/69",299,"twin","best"
"393","data/0.2-0-2.5-0.1/70",566,"true","gen"
"394","data/0.2-0-2.5-0.1/70",585,"true","best"
"395","data/0.2-0-2.5-0.1/70",507,"twin","gen"
"396","data/0.2-0-2.5-0.1/70",312,"twin","best"
"397","data/0.2-0-2.5-0.15/141",305,"true","gen"
"398","data/0.2-0-2.5-0.15/141",410,"true","best"
"399","data/0.2-0-2.5-0.15/141",113,"twin","gen"
"400","data/0.2-0-2.5-0.15/141",280,"twin","best"
"401","data/0.2-0-2.5-0.15/142",3,"true","gen"
"402","data/0.2-0-2.5-0.15/142",372,"true","best"
"403","data/0.2-0-2.5-0.15/142",3,"twin","gen"
"404","data/0.2-0-2.5-0.15/142",4,"twin","best"
"405","data/0.2-0-2.5-0.15/143",2,"true","gen"
"406","data/0.2-0-2.5-0.15/143",4,"true","best"
"407","data/0.2-0-2.5-0.15/143",64,"twin","gen"
"408","data/0.2-0-2.5-0.15/143",80,"twin","best"
"409","data/0.2-0-2.5-0.15/144",759,"true","gen"
"410","data/0.2-0-2.5-0.15/144",545,"true","best"
"411","data/0.2-0-2.5-0.15/144",760,"twin","gen"
"412","data/0.2-0-2.5-0.15/144",553,"twin","best"
"413","data/0.2-0-2.5-0.15/146",792,"true","gen"
"414","data/0.2-0-2.5-0.15/146",718,"true","best"
"415","data/0.2-0-2.5-0.15/146",901,"twin","gen"
"416","data/0.2-0-2.5-0.15/146",16,"twin","best"
"417","data/0.2-0-2.5-0.15/148",4,"true","gen"
"418","data/0.2-0-2.5-0.15/148",3,"true","best"
"419","data/0.2-0-2.5-0.15/148",4,"twin","gen"
"420","data/0.2-0-2.5-0.15/148",11,"twin","best"
"421","data/0.2-0-2.5-0.15/149",501,"true","gen"
"422","data/0.2-0-2.5-0.15/149",539,"true","best"
"423","data/0.2-0-2.5-0.15/149",821,"twin","gen"
"424","data/0.2-0-2.5-0.15/149",585,"twin","best"
"425","data/0.2-0-2.5-0.15/150",901,"true","gen"
"426","data/0.2-0-2.5-0.15/150",777,"true","best"
"427","data/0.2-0-2.5-0.15/150",901,"twin","gen"
"428","data/0.2-0-2.5-0.15/150",228,"twin","best"
"429","data/0.2-0-2.5-0.2/221",223,"true","gen"
"430","data/0.2-0-2.5-0.2/221",211,"true","best"
"431","data/0.2-0-2.5-0.2/221",33,"twin","gen"
"432","data/0.2-0-2.5-0.2/221",141,"twin","best"
"433","data/0.2-0-2.5-0.2/222",444,"true","gen"
"434","data/0.2-0-2.5-0.2/222",868,"true","best"
"435","data/0.2-0-2.5-0.2/222",6,"twin","gen"
"436","data/0.2-0-2.5-0.2/222",676,"twin","best"
"437","data/0.2-0-2.5-0.2/223",125,"true","gen"
"438","data/0.2-0-2.5-0.2/223",3,"true","best"
"439","data/0.2-0-2.5-0.2/223",8,"twin","gen"
"440","data/0.2-0-2.5-0.2/223",58,"twin","best"
"441","data/0.2-0-2.5-0.2/224",257,"true","gen"
"442","data/0.2-0-2.5-0.2/224",235,"true","best"
"443","data/0.2-0-2.5-0.2/224",7,"twin","gen"
"444","data/0.2-0-2.5-0.2/224",3,"twin","best"
"445","data/0.2-0-2.5-0.2/225",624,"true","gen"
"446","data/0.2-0-2.5-0.2/225",656,"true","best"
"447","data/0.2-0-2.5-0.2/225",744,"twin","gen"
"448","data/0.2-0-2.5-0.2/225",810,"twin","best"
"449","data/0.2-0-2.5-0.2/226",3,"true","gen"
"450","data/0.2-0-2.5-0.2/226",229,"true","best"
"451","data/0.2-0-2.5-0.2/226",13,"twin","gen"
"452","data/0.2-0-2.5-0.2/226",4,"twin","best"
"453","data/0.2-0-2.5-0.2/227",9,"true","gen"
"454","data/0.2-0-2.5-0.2/227",302,"true","best"
"455","data/0.2-0-2.5-0.2/227",3,"twin","gen"
"456","data/0.2-0-2.5-0.2/227",168,"twin","best"
"457","data/0.2-0-2.5-0.2/228",787,"true","gen"
"458","data/0.2-0-2.5-0.2/228",622,"true","best"
"459","data/0.2-0-2.5-0.2/228",4,"twin","gen"
"460","data/0.2-0-2.5-0.2/228",768,"twin","best"
"461","data/0.2-0-2.5-0.2/229",459,"true","gen"
"462","data/0.2-0-2.5-0.2/229",901,"true","best"
"463","data/0.2-0-2.5-0.2/229",901,"twin","gen"
"464","data/0.2-0-2.5-0.2/229",901,"twin","best"
"465","data/0.2-0-2.5-0.2/230",4,"true","gen"
"466","data/0.2-0-2.5-0.2/230",10,"true","best"
"467","data/0.2-0-2.5-0.2/230",8,"twin","gen"
"468","data/0.2-0-2.5-0.2/230",2,"twin","best"
"469","data/0.2-0.15-1-0.1/11",849,"true","gen"
"470","data/0.2-0.15-1-0.1/11",201,"true","best"
"471","data/0.2-0.15-1-0.1/11",901,"twin","gen"
