"","folder","site_model","clock_model","tree_prior","tree","marg_log_lik","marg_log_lik_sd","weight"
"204","data/0.2-0.15-1.5-0.15/24","GTR","strict","birth_death","true",-13530.2731585143,11.5721491833716,1
"205","data/0.2-0.15-1.5-0.2/39","JC69","strict","birth_death","twin",-14706.483731339,8.73886829176744,0.999767958953461
"206","data/0.2-0.15-1.5-0.2/39","JC69","strict","yule","twin",-14714.8520955506,9.57900808365603,0.000232041045983478
"207","data/0.2-0.15-1.5-0.2/39","GTR","strict","birth_death","twin",-14734.7026796835,10.3858705532456,5.55348576511483e-13
"208","data/0.2-0.15-1.5-0.2/39","JC69","strict","birth_death","true",-14862.044466583,9.02636444027023,0.999961670643006
"209","data/0.2-0.15-1.5-0.2/39","JC69","strict","yule","true",-14872.2137227071,9.05355120340077,3.83293569935954e-05
"210","data/0.2-0.15-1.5-0.2/39","GTR","strict","birth_death","true",-14923.2279349766,11.3981116389639,2.68127060112556e-27
"211","data/0.2-0.15-1.5-0.2/40","JC69","strict","birth_death","twin",-22698.6676330238,12.2931095027038,0.999991351288959
"212","data/0.2-0.15-1.5-0.2/40","JC69","strict","yule","twin",-22710.3257246358,12.8811424976027,8.64871104019935e-06
"213","data/0.2-0.15-1.5-0.2/40","GTR","strict","birth_death","twin",-22733.3359541712,14.666033610149,8.78487674795215e-16
"214","data/0.2-0.15-1.5-0.2/40","JC69","strict","birth_death","true",-26998.3817591851,11.1843749424421,8.81664180030537e-07
"215","data/0.2-0.15-1.5-0.2/40","JC69","strict","yule","true",-26984.440305465,13.4044109826124,0.99999911833582
"216","data/0.2-0.15-1.5-0.2/40","GTR","strict","birth_death","true",-27036.8549714119,12.8035246927508,1.72424678767106e-23
"217","data/0.2-0.15-2-0.1/11","JC69","strict","birth_death","twin",-8318.13982876597,0.459587051160563,0.0733559856940807
"218","data/0.2-0.15-2-0.1/11","JC69","strict","yule","twin",-8317.96806761641,0.368134772668441,0.0871024711934851
"219","data/0.2-0.15-2-0.1/11","GTR","strict","birth_death","twin",-8315.70229691095,0.387259909687583,0.839541543112434
"220","data/0.2-0.15-2-0.1/11","JC69","strict","birth_death","true",-8318.12520213414,0.445079610923185,0
"221","data/0.2-0.15-2-0.1/11","JC69","strict","yule","true",-5197.20674417505,4.57161567559466,1
"222","data/0.2-0.15-2-0.1/11","GTR","strict","birth_death","true",-8319.75630042741,0.377851085534292,0
"223","data/0.2-0.15-2-0.1/12","JC69","strict","birth_death","twin",-4018.25974791108,1.53051549721097,1.40504448449398e-44
"224","data/0.2-0.15-2-0.1/12","JC69","strict","yule","twin",-4159.27973838471,0.437522509550162,8.00730504655303e-106
"225","data/0.2-0.15-2-0.1/12","GTR","strict","birth_death","twin",-3917.28607278319,4.72044119675042,1
"226","data/0.2-0.15-2-0.1/12","JC69","strict","birth_death","true",-4159.23715575069,0.406952148696612,2.6026509811646e-231
"227","data/0.2-0.15-2-0.1/12","JC69","strict","yule","true",-4159.20739923482,0.382767716097144,2.68126057995453e-231
"228","data/0.2-0.15-2-0.1/12","GTR","strict","birth_death","true",-3628.29652980278,3.10574472307229,1
"229","data/0.2-0.15-2-0.15/27","JC69","strict","birth_death","twin",-19942.2357037328,14.0048231044446,1.26193181837743e-07
"230","data/0.2-0.15-2-0.15/27","JC69","strict","yule","twin",-19926.3505520816,11.6048234214335,0.99969978136309
"231","data/0.2-0.15-2-0.15/27","GTR","strict","birth_death","twin",-19934.4616718029,13.7230617419978,0.000300092443728171
